Date,Open,High,Low,Close,Pre Settle,Settle,Volume,Open Interest,Turnover
2019-12-26,580.5,580.5,568.0,576.0,580.5,575.5,1382.0,10126.0,79594.4
2019-12-25,581.0,582.0,576.0,576.0,579.0,580.5,910.0,9220.0,52861.8
2019-12-24,578.5,582.5,575.5,582.5,578.5,579.0,494.0,8472.0,28613.1
2019-12-23,566.0,584.0,565.5,577.5,576.5,578.5,972.0,8092.0,56247.4
2019-12-20,583.0,583.0,573.0,573.0,580.5,576.5,1338.0,7514.0,77160.6
2019-12-19,571.5,585.5,571.5,585.5,576.0,580.5,672.0,6930.0,39040.1
2019-12-18,570.0,577.5,570.0,574.0,578.0,576.0,2138.0,6532.0,123206.2
2019-12-17,581.0,585.0,574.0,574.0,589.0,578.0,968.0,4748.0,55972.9
2019-12-16,590.0,600.0,578.0,584.5,588.5,589.0,418.0,3924.0,24622.4
2019-12-13,588.0,593.0,582.5,590.0,589.0,588.5,262.0,3722.0,15427.1
2019-12-12,595.0,597.5,585.0,589.5,591.5,589.0,532.0,3672.0,31353.9
2019-12-11,586.0,595.0,585.0,595.0,592.0,591.5,1372.0,3346.0,81185.2
2019-12-10,587.5,598.0,585.0,586.0,577.5,592.0,202.0,2126.0,11961.9
2019-12-09,560.0,588.0,558.5,588.0,555.0,577.5,234.0,2082.0,13514.9
2019-12-06,557.0,560.0,551.5,558.5,556.0,555.0,202.0,2118.0,11211.6
2019-12-05,557.5,559.0,553.0,556.5,547.5,556.0,342.0,2116.0,19016.1
2019-12-04,544.5,557.0,544.0,556.0,544.5,547.5,516.0,1970.0,28275.6
2019-12-03,543.5,550.0,543.5,547.0,540.5,544.5,460.0,1756.0,25060.7
2019-12-02,542.0,546.0,533.0,545.0,542.0,540.5,608.0,1410.0,32883.1
2019-11-29,542.0,550.0,542.0,543.0,542.0,542.0,842.0,962.0,45655.8
2019-11-28,543.5,546.0,540.0,546.0,544.5,542.0,40.0,152.0,2168.3
2019-11-27,551.5,551.5,541.5,543.0,554.5,544.5,66.0,134.0,3594.2
2019-11-26,555.0,557.5,554.0,556.5,549.5,554.5,86.0,98.0,4772.3
2019-11-25,544.0,561.0,544.0,560.5,538.0,549.5,100.0,98.0,5498.6
2019-11-22,540.5,540.5,537.0,537.0,536.5,538.0,20.0,68.0,1076.3
2019-11-21,536.0,539.5,534.0,538.5,536.5,536.5,10.0,52.0,536.6
2019-11-20,530.5,540.5,530.5,535.0,526.0,536.5,36.0,48.0,1932.4
2019-11-19,524.0,530.5,524.0,530.5,530.0,526.0,22.0,46.0,1157.7
2019-11-18,531.0,534.5,527.0,527.0,527.5,530.0,26.0,38.0,1379.2
2019-11-15,521.0,532.5,521.0,530.0,520.0,527.5,18.0,16.0,949.7
